Date,SEMA.MI
2020-11-19,33.44499969482422
2020-11-20,33.584999084472656
2020-11-23,33.834999084472656
2020-11-24,34.07500076293945
2020-11-25,33.82500076293945
2020-11-26,34.029998779296875
2020-11-27,34.04999923706055
2020-11-30,33.25
2020-12-01,33.564998626708984
2020-12-02,33.525001525878906
2020-12-03,33.77000045776367
2020-12-04,34.064998626708984
2020-12-07,34.18000030517578
2020-12-08,34.125
2020-12-09,34.130001068115234
2020-12-10,34.2400016784668
2020-12-11,34.125
2020-12-14,33.95500183105469
2020-12-15,33.98500061035156
2020-12-16,34.20000076293945
2020-12-17,34.185001373291016
2020-12-18,34.224998474121094
2020-12-21,33.84000015258789
2020-12-22,33.755001068115234
2020-12-23,33.974998474121094
2020-12-24,
2020-12-28,33.97999954223633
2020-12-29,34.29999923706055
2020-12-30,34.73500061035156
2020-12-31,
2021-01-04,35.064998626708984
2021-01-05,35.3650016784668
2021-01-06,35.560001373291016
2021-01-07,35.54499816894531
2021-01-08,36.59000015258789
2021-01-11,36.650001525878906
2021-01-12,36.900001525878906
2021-01-13,36.82500076293945
2021-01-14,37.474998474121094
2021-01-15,37.099998474121094
2021-01-18,37.22999954223633
2021-01-19,37.47999954223633
2021-01-20,38.11000061035156
2021-01-21,38.154998779296875
2021-01-22,37.66999816894531
2021-01-25,38.025001525878906
2021-01-26,37.67499923706055
2021-01-27,37.20500183105469
2021-01-28,37.060001373291016
2021-01-29,36.310001373291016
2021-02-01,37.099998474121094
2021-02-02,37.994998931884766
2021-02-03,38.20500183105469
2021-02-04,38.23500061035156
2021-02-05,38.435001373291016
2021-02-08,38.505001068115234
2021-02-09,38.630001068115234
2021-02-10,38.775001525878906
2021-02-11,39.380001068115234
2021-02-12,39.3849983215332
2021-02-15,39.69499969482422
2021-02-16,39.459999084472656
2021-02-17,39.46500015258789
2021-02-18,38.779998779296875
2021-02-19,39.220001220703125
2021-02-22,38.064998626708984
2021-02-23,37.79999923706055
2021-02-24,37.625
2021-02-25,37.369998931884766
2021-02-26,36.685001373291016
2021-03-01,37.755001068115234
2021-03-02,37.20000076293945
2021-03-03,37.459999084472656
2021-03-04,37.150001525878906
2021-03-05,36.584999084472656
2021-03-08,36.529998779296875
2021-03-09,36.98500061035156
2021-03-10,36.77000045776367
2021-03-11,37.69499969482422
2021-03-12,37.09000015258789
2021-03-15,37.15999984741211
2021-03-16,37.540000915527344
2021-03-17,37.125
2021-03-18,37.209999084472656
2021-03-19,37.2599983215332
2021-03-22,37.15999984741211
2021-03-23,36.915000915527344
2021-03-24,36.31999969482422
2021-03-25,36.275001525878906
2021-03-26,36.540000915527344
2021-03-29,36.8650016784668
2021-03-30,37.21500015258789
2021-03-31,37.349998474121094
2021-04-01,37.78499984741211
2021-04-06,37.82500076293945
2021-04-07,37.06999969482422
2021-04-08,37.345001220703125
2021-04-09,36.95500183105469
2021-04-12,36.68000030517578
2021-04-13,36.89500045776367
2021-04-14,37.025001525878906
