Date,EM710.MI
2021-08-03,193.25
2021-08-04,193.30999755859375
2021-08-05,193.5399932861328
2021-08-06,193.07000732421875
2021-08-09,193.0399932861328
2021-08-10,193.16000366210938
2021-08-11,192.9499969482422
2021-08-12,193.13999938964844
2021-08-13,193.19000244140625
2021-08-16,193.11000061035156
2021-08-17,193.0
2021-08-18,193.25999450683594
2021-08-19,193.32000732421875
2021-08-20,193.47000122070312
2021-08-23,193.07000732421875
2021-08-24,193.19000244140625
2021-08-25,192.0800018310547
2021-08-26,192.11000061035156
2021-08-27,192.25
2021-08-30,192.5800018310547
2021-08-31,191.60000610351562
2021-09-01,191.6199951171875
2021-09-02,191.8300018310547
2021-09-03,191.5399932861328
2021-09-06,191.67999267578125
2021-09-07,190.75999450683594
2021-09-08,190.91000366210938
2021-09-09,191.74000549316406
2021-09-10,191.2899932861328
2021-09-13,191.33999633789062
2021-09-14,191.64999389648438
2021-09-15,191.0500030517578
2021-09-16,191.1300048828125
2021-09-17,190.8699951171875
2021-09-20,191.05999755859375
2021-09-21,191.3699951171875
2021-09-22,191.39999389648438
2021-09-23,190.50999450683594
2021-09-24,189.97000122070312
2021-09-27,189.8699951171875
2021-09-28,189.33999633789062
2021-09-29,189.47000122070312
2021-09-30,189.36000061035156
2021-10-01,189.66000366210938
2021-10-04,189.69000244140625
2021-10-05,189.24000549316406
2021-10-06,189.02000427246094
2021-10-07,189.3000030517578
2021-10-08,188.75
2021-10-11,188.4499969482422
2021-10-12,188.17999267578125
2021-10-13,188.5500030517578
2021-10-14,189.36000061035156
2021-10-15,188.97999572753906
2021-10-18,188.55999755859375
2021-10-19,188.05999755859375
2021-10-20,188.35000610351562
2021-10-21,187.94000244140625
2021-10-22,187.75999450683594
2021-10-25,188.13999938964844
2021-10-26,188.0
2021-10-27,188.77999877929688
2021-10-28,188.1300048828125
2021-10-29,186.91000366210938
2021-11-01,186.6699981689453
2021-11-02,188.0500030517578
2021-11-03,188.2899932861328
2021-11-04,189.3800048828125
2021-11-05,190.25999450683594
2021-11-08,189.82000732421875
2021-11-09,190.47000122070312
2021-11-10,189.44000244140625
2021-11-11,189.22000122070312
2021-11-12,189.52000427246094
2021-11-15,189.47000122070312
2021-11-16,189.5399932861328
2021-11-17,189.4499969482422
2021-11-18,190.05999755859375
2021-11-19,190.82000732421875
2021-11-22,190.13999938964844
2021-11-23,189.10000610351562
2021-11-24,188.85000610351562
2021-11-25,189.1300048828125
2021-11-26,190.3699951171875
2021-11-29,190.05999755859375
2021-11-30,190.35000610351562
2021-12-01,189.9199981689453
2021-12-02,190.9199981689453
2021-12-03,190.99000549316406
2021-12-06,191.1699981689453
2021-12-07,190.99000549316406
2021-12-08,189.83999633789062
2021-12-09,190.4499969482422
2021-12-10,190.6199951171875
