Date,X57E.MI
2009-05-15,164.55999755859375
2009-05-18,164.64999389648438
2009-05-19,164.0
2009-05-20,164.0
2009-05-21,164.67999267578125
2009-05-22,163.83999633789062
2009-05-25,163.00999450683594
2009-05-26,163.0500030517578
2009-05-27,162.9199981689453
2009-05-28,162.49000549316406
2009-05-29,162.6300048828125
2009-06-01,163.07000732421875
2009-06-02,163.0
2009-06-03,163.11000061035156
2009-06-04,162.1699981689453
2009-06-05,161.64999389648438
2009-06-08,161.33999633789062
2009-06-09,161.64999389648438
2009-06-10,161.5
2009-06-11,161.5800018310547
2009-06-12,161.89999389648438
2009-06-15,162.61000061035156
2009-06-16,162.6999969482422
2009-06-17,162.83999633789062
2009-06-18,162.97999572753906
2009-06-19,162.52000427246094
2009-06-22,163.77999877929688
2009-06-23,163.8699951171875
2009-06-24,164.22000122070312
2009-06-25,164.63999938964844
2009-06-26,164.83999633789062
2009-06-29,164.9499969482422
2009-06-30,164.85000610351562
2009-07-01,165.16000366210938
2009-07-02,165.83999633789062
2009-07-03,165.75999450683594
2009-07-06,165.83999633789062
2009-07-07,165.91000366210938
2009-07-08,166.1300048828125
2009-07-09,165.75
2009-07-10,165.83999633789062
2009-07-13,166.1300048828125
2009-07-14,166.0
2009-07-15,165.55999755859375
2009-07-16,165.60000610351562
2009-07-17,165.9499969482422
2009-07-20,165.77000427246094
2009-07-21,166.08999633789062
2009-07-22,166.1699981689453
2009-07-23,166.10000610351562
2009-07-24,165.82000732421875
2009-07-27,165.44000244140625
2009-07-28,166.0800018310547
2009-07-29,166.4499969482422
2009-07-30,166.3000030517578
2009-07-31,166.85000610351562
2009-08-03,166.92999267578125
2009-08-04,167.08999633789062
2009-08-05,166.89999389648438
2009-08-06,166.42999267578125
2009-08-07,165.42999267578125
2009-08-10,165.75
2009-08-11,165.89999389648438
2009-08-12,166.14999389648438
2009-08-13,166.16000366210938
2009-08-14,167.25999450683594
2009-08-17,167.3300018310547
2009-08-18,167.41000366210938
2009-08-19,167.75999450683594
2009-08-20,167.74000549316406
2009-08-21,167.5800018310547
2009-08-24,167.4199981689453
2009-08-25,167.72999572753906
2009-08-26,168.19000244140625
2009-08-27,168.11000061035156
2009-08-28,168.0800018310547
2009-08-31,168.25999450683594
2009-09-01,168.02000427246094
2009-09-02,168.27000427246094
2009-09-03,168.0800018310547
2009-09-04,167.8800048828125
2009-09-07,168.0500030517578
2009-09-08,168.14999389648438
2009-09-09,168.02000427246094
2009-09-10,168.22000122070312
2009-09-11,168.52000427246094
2009-09-14,168.66000366210938
2009-09-15,168.4499969482422
2009-09-16,168.39999389648438
2009-09-17,168.36000061035156
2009-09-18,168.11000061035156
2009-09-21,168.17999267578125
2009-09-22,168.2100067138672
2009-09-23,167.92999267578125
2009-09-24,168.94000244140625
2009-09-25,169.0500030517578
2009-09-28,169.08999633789062
2009-09-29,169.1699981689453
2009-09-30,169.2899932861328
2009-10-01,169.1999969482422
2009-10-02,169.5
2009-10-05,169.60000610351562
2009-10-06,169.5500030517578
2009-10-07,169.75
2009-10-08,169.85000610351562
2009-10-09,169.17999267578125
2009-10-12,169.3000030517578
2009-10-13,169.50999450683594
2009-10-14,169.0500030517578
2009-10-15,168.72000122070312
2009-10-16,168.60000610351562
2009-10-19,168.50999450683594
2009-10-20,168.80999755859375
2009-10-21,168.86000061035156
2009-10-22,168.97000122070312
2009-10-23,168.85000610351562
2009-10-26,168.63999938964844
2009-10-27,169.27000427246094
